board_size,coordinates,MN_time,Eval_time,num_times_passed,num_times_failed
8,(2 6),0.184874,0.001002,154,0
8,(2 7),0.077946,0.000906,155,0
8,(2 8),1.591167,0.000999,156,0
8,(3 1),0.175088,0.000888,157,0
8,(3 2),1.523351,0.001003,158,0
8,(3 3),0.180719,0.000946,159,0
8,(3 4),0.107871,0.000966,160,0
8,(3 5),0.085476,0.000948,161,0
8,(3 6),1.189647,0.000994,162,0
8,(3 7),1.800512,0.000953,163,0
8,(3 8),0.140438,0.001077,164,0
8,(4 1),0.114329,0.001036,165,0
8,(4 2),2.037436,0.001166,166,0
8,(4 3),0.090074,0.001008,167,0
8,(4 4),0.009126,0.001010,168,0
8,(4 5),1.038588,0.001110,169,0
8,(4 6),0.064502,0.000995,170,0
8,(4 7),1.244659,0.000967,171,0
8,(4 8),0.247928,0.001035,172,0
8,(5 1),0.001619,0.000817,173,0
8,(5 2),0.222439,0.001009,174,0
8,(5 3),0.079136,0.001216,175,0
8,(5 4),1.136951,0.001126,176,0
8,(5 5),1.464199,0.001058,177,0
8,(5 6),1.100541,0.000945,178,0
8,(5 7),0.103600,0.001006,179,0
8,(5 8),0.226261,0.001020,180,0
8,(6 1),0.001115,0.000939,181,0
8,(6 2),0.219922,0.000925,182,0
8,(6 3),2.981380,0.001054,183,0
8,(6 4),0.096429,0.000927,184,0
8,(6 5),1.169377,0.000964,185,0
8,(6 6),1.663458,0.001168,186,0
8,(6 7),0.089128,0.001006,187,0
8,(6 8),1.844978,0.000955,188,0
8,(7 1),0.205006,0.000953,189,0
8,(7 2),0.124928,0.001066,190,0
8,(7 3),1.816246,0.000993,191,0
8,(7 4),2.822745,0.000982,192,0
8,(7 5),0.208095,0.000912,193,0
8,(7 6),0.167468,0.001121,194,0
8,(7 7),0.006064,0.001023,195,0
8,(7 8),1.563834,0.001095,196,0
8,(8 1),1.316645,0.001007,197,0
8,(8 2),1.434819,0.001159,198,0
8,(8 3),0.172088,0.000888,199,0
8,(8 4),0.087304,0.001067,200,0
8,(8 5),0.125708,0.001054,201,0
8,(8 6),3.678002,0.001159,202,0
8,(8 7),5.314242,0.001183,203,0
8,(8 8),3.514707,0.000965,204,0

9,(1 1),0.854804,0.001053,205,0
9,(1 2),0.017675,0.001146,206,0
9,(1 3),0.016666,0.001067,207,0
9,(1 4),0.027744,0.001024,208,0
9,(1 5),1.620745,0.001145,209,0
9,(1 6),1.608722,0.001237,210,0
9,(1 7),1.879634,0.001237,211,0
9,(1 8),1.404256,0.001055,212,0
9,(1 9),25.576138,0.001042,213,0
9,(2 1),0.016958,0.001174,214,0
9,(2 2),0.031998,0.001077,215,0
9,(2 3),0.849092,0.001038,216,0
9,(2 4),0.054822,0.001192,217,0
9,(2 5),0.003803,0.000856,218,0
9,(2 6),0.101497,0.001057,219,0
9,(2 7),1.087143,0.001014,220,0
9,(2 8),0.816028,0.000983,221,0
9,(2 9),26.031398,0.001117,222,0
9,(3 1),0.017497,0.001111,223,0
9,(3 2),0.054322,0.000977,224,0
9,(3 3),1.121993,0.001035,225,0
9,(3 4),0.002047,0.001002,226,0
9,(3 5),0.959615,0.000962,227,0
9,(3 6),0.029871,0.001179,228,0
9,(3 7),0.004040,0.000855,229,0
9,(3 8),0.040427,0.001106,230,0
9,(3 9),1.917616,0.001193,231,0
9,(4 1),0.058059,0.001125,232,0
9,(4 2),0.050374,0.001095,233,0
9,(4 3),0.001198,0.000893,234,0
9,(4 4),0.037644,0.001103,235,0
9,(4 5),1.240138,0.001004,236,0
9,(4 6),0.011664,0.001077,237,0
9,(4 7),20.249603,0.001050,238,0
9,(4 8),0.060510,0.001092,239,0
9,(4 9),1.035996,0.001229,240,0
9,(5 1),0.001291,0.000874,241,0
9,(5 2),0.043166,0.001127,242,0
9,(5 3),1.003219,0.001032,243,0
9,(5 4),0.779363,0.000998,244,0
9,(5 5),0.140244,0.001061,245,0
9,(5 6),0.001503,0.000867,246,0
9,(5 7),1.076701,0.000971,247,0
9,(5 8),0.016955,0.001113,248,0
9,(5 9),0.094806,0.001072,249,0
9,(6 1),0.198016,0.000919,250,0
9,(6 2),0.076627,0.001001,251,0
9,(6 3),0.681781,0.001087,252,0
9,(6 4),0.041346,0.001131,253,0
9,(6 5),0.039983,0.001073,254,0
9,(6 6),0.002573,0.000856,255,0
9,(6 7),0.078878,0.001116,256,0
9,(6 8),0.696236,0.000939,257,0
9,(6 9),0.950578,0.001197,258,0
9,(7 1),0.152226,0.000976,259,0
9,(7 2),2.074313,0.001101,260,0
9,(7 3),0.006287,0.000994,261,0
9,(7 4),20.366180,0.001039,262,0
9,(7 5),0.075815,0.001181,263,0
9,(7 6),1.935241,0.001039,264,0
9,(7 7),3.717304,0.001193,265,0
9,(7 8),0.029990,0.001095,266,0
9,(7 9),0.003841,0.000870,267,0
9,(8 1),1.310013,0.001030,268,0
9,(8 2),0.871648,0.001020,269,0
9,(8 3),1.199259,0.001040,270,0
9,(8 4),0.078576,0.001196,271,0
9,(8 5),0.648917,0.000981,272,0
9,(8 6),0.603009,0.000948,273,0
9,(8 7),0.025921,0.001066,274,0
9,(8 8),0.109452,0.001133,275,0
9,(8 9),0.027563,0.001049,276,0
9,(9 1),25.525469,0.001194,277,0
9,(9 2),27.284100,0.001255,278,0
9,(9 3),0.051749,0.000994,279,0
9,(9 4),0.094121,0.001193,280,0
9,(9 5),0.002885,0.000919,281,0
9,(9 6),0.032791,0.001061,282,0
9,(9 7),1.013891,0.001092,283,0
9,(9 8),1.845169,0.001137,284,0
9,(9 9),0.865353,0.001170,285,0

10,(1 1),17.912177,0.001384,286,0
10,(1 2),15.806106,0.001244,287,0
10,(1 3),18.040246,0.001402,288,0
10,(1 4),22.483792,0.001245,289,0
10,(1 5),2.009344,0.001432,290,0
10,(1 6),2.796190,0.001173,291,0
10,(1 7),1.289902,0.001145,292,0
10,(1 8),0.071676,0.001919,293,0
